idade,sexo,frequencia_semanal_treino,tipo_atividade,tempo_medio_exercicio,minutos_totais_semana,preco_plano,possui_nutricionista,primeiro_PGC,ultimo_PGC,data_matricula,estado,evolucao_PGC,sexo_cod,atividade_cod,estado_cod
48,Outro,7.0,Natação,45.3,317.1,188.47,Não,39.5,24.9,2021-07-28,Ativa,14.600000000000001,2,6,0
30,Outro,7.0,Yoga,98.1,686.7,198.07,Não,25.2,23.5,2020-12-28,Ativa,1.6999999999999993,2,9,0
35,Masculino,5.0,Cardio,33.9,169.5,154.9,Não,27.2,11.4,2022-02-27,Ativa,15.799999999999999,1,0,0
43,Outro,3.0,Yoga,75.6,226.8,250.79,Sim,14.4,19.2,2022-12-01,Ativa,-4.799999999999999,2,9,0
37,Masculino,0.0,CrossFit,114.0,0.0,168.02,Sim,21.5,18.1,2024-01-20,Sedentária,3.3999999999999986,1,1,1
57,Masculino,2.0,Yoga,95.5,191.0,74.06,Não,35.8,14.4,2020-04-26,Ativa,21.4,1,9,0
55,Masculino,7.0,CrossFit,95.7,669.9,289.13,Sim,16.1,14.9,2022-06-12,Ativa,1.200000000000001,1,1,0
21,Feminino,5.0,Yoga,117.5,587.5,259.55,Não,13.2,13.5,2021-09-07,Ativa,-0.3000000000000007,0,9,0
37,Masculino,7.0,Yoga,70.55,203.5,194.34,Sim,18.4,21.8,2025-09-02,Ativa,-3.400000000000002,1,9,0
50,Masculino,1.0,Musculação,105.0,105.0,290.91,Sim,37.3,31.0,2020-05-06,Ativa,6.299999999999997,1,4,0
21,Feminino,0.0,Futebol,94.8,0.0,176.86,Sim,25.5,21.2,2025-03-10,Sedentária,4.300000000000001,0,3,1
30,Outro,0.0,CrossFit,67.7,0.0,147.73,Sim,28.6,25.4,2023-11-12,Sedentária,3.200000000000003,2,1,1
42,Outro,1.0,Yoga,56.6,56.6,170.38,Não,15.7,29.6,2021-12-31,Ativa,-13.900000000000002,2,9,0
20,Masculino,6.0,Cardio,47.8,286.8,206.8,Sim,10.4,22.7,2022-12-25,Ativa,-12.299999999999999,1,0,0
47,Feminino,2.0,Musculação,112.5,225.0,117.85,Não,29.0,13.4,2020-05-01,Ativa,15.6,0,4,0
24,Outro,4.0,CrossFit,80.4,321.6,63.51,Não,13.5,34.1,2020-10-29,Ativa,-20.6,2,1,0
62,Outro,4.0,Futebol,69.1,276.4,143.89,Sim,29.8,16.0,2024-01-19,Ativa,13.8,2,3,0
35,Feminino,0.0,Natação,48.9,0.0,53.65,Não,12.3,20.9,2025-04-23,Sedentária,-8.599999999999998,0,6,1
22,Outro,4.0,Musculação,94.3,377.2,131.0,Não,36.7,10.8,2022-06-13,Ativa,25.900000000000002,2,4,0
36,Feminino,4.0,CrossFit,101.7,406.8,174.82,Não,31.2,36.4,2021-06-11,Ativa,-5.199999999999999,0,1,0
36,Feminino,3.0,CrossFit,99.6,298.8,298.37,Sim,22.7,30.3,2022-07-02,Ativa,-7.600000000000001,0,1,0
57,Outro,5.0,Natação,94.7,473.5,225.36,Não,28.1,11.4,2024-10-13,Ativa,16.700000000000003,2,6,0
57,Outro,5.0,CrossFit,42.2,211.0,251.88,Não,22.7,27.2,2022-05-26,Ativa,-4.5,2,1,0
52,Feminino,6.0,Yoga,89.6,537.6,181.9,Sim,11.3,16.8,2022-04-10,Ativa,-5.5,0,9,0
31,Outro,2.0,Futebol,52.3,104.6,81.08,Sim,13.3,35.5,2023-05-20,Ativa,-22.2,2,3,0
64,Masculino,1.0,Yoga,105.6,105.6,256.94,Sim,14.3,34.1,2024-10-04,Ativa,-19.8,1,9,0
64,Outro,0.0,Musculação,70.55,203.5,148.59,Sim,19.3,19.1,2024-10-13,Sedentária,0.1999999999999993,2,4,1
41,Masculino,2.0,Futebol,81.6,163.2,56.38,Sim,12.9,30.1,2024-09-09,Ativa,-17.200000000000003,1,3,0
40,Feminino,4.0,Natação,82.1,328.4,114.78,Não,33.6,27.6,2021-05-09,Ativa,6.0,0,6,0
37,Outro,4.0,Yoga,45.1,180.4,78.51,Sim,17.3,32.4,2023-05-08,Ativa,-15.099999999999998,2,9,0
51,Masculino,7.0,Cardio,74.5,521.5,223.85,Sim,10.2,29.5,2020-05-23,Ativa,-19.3,1,0,0
42,Feminino,5.0,Cardio,109.8,549.0,136.8,Não,30.7,13.9,2022-02-04,Ativa,16.799999999999997,0,0,0
33,Masculino,2.0,Musculação,93.8,187.6,113.1,Sim,35.8,12.5,2023-03-11,Ativa,23.299999999999997,1,4,0
48,Feminino,0.0,Natação,75.4,0.0,74.83,Não,23.6,24.5,2020-09-05,Sedentária,-0.8999999999999986,0,6,1
20,Outro,4.0,Yoga,29.6,118.4,263.94,Sim,38.7,20.1,2024-02-04,Ativa,18.6,2,9,0
35,Outro,3.0,Natação,94.5,283.5,94.64,Sim,15.0,23.5,2024-08-24,Ativa,-8.5,2,6,0
56,Feminino,0.0,Musculação,25.8,0.0,233.58,Sim,18.6,12.6,2020-03-26,Sedentária,6.000000000000002,0,4,1
21,Outro,6.0,Cardio,33.9,203.4,151.75,Não,39.2,15.9,2023-06-16,Ativa,23.300000000000004,2,0,0
53,Masculino,2.0,Yoga,98.3,196.6,176.74,Sim,37.4,29.5,2025-02-04,Ativa,7.899999999999999,1,9,0
34,Outro,4.0,Yoga,21.9,87.6,171.13,Não,30.7,23.0,2024-02-18,Ativa,7.699999999999999,2,9,0
40,Outro,4.0,Natação,36.9,147.6,261.56,Não,20.8,17.4,2020-01-29,Ativa,3.400000000000002,2,6,0
45,Outro,5.0,Futebol,104.3,521.5,138.88,Sim,36.0,36.0,2020-02-07,Ativa,0.0,2,3,0
49,Outro,5.0,Futebol,70.55,203.5,235.3,Não,30.4,13.2,2024-03-25,Ativa,17.2,2,3,0
54,Feminino,4.0,Cardio,113.2,203.5,65.29,Sim,16.6,35.0,2021-10-05,Sedentária,-18.4,0,0,1
32,Feminino,0.0,CrossFit,46.9,0.0,273.31,Não,30.9,10.6,2020-12-16,Sedentária,20.299999999999997,0,1,1
35,Outro,4.0,Yoga,46.8,187.2,61.92,Sim,21.3,17.5,2022-03-08,Ativa,3.8000000000000007,2,9,0
20,Masculino,7.0,Natação,58.1,406.7,195.57,Sim,10.7,28.0,2024-02-26,Ativa,-17.3,1,6,0
35,Outro,5.0,Yoga,57.3,286.5,97.55,Não,17.2,12.1,2025-02-23,Ativa,5.1,2,9,0
20,Outro,1.0,Cardio,71.0,71.0,163.27,Não,27.3,20.6,2023-06-19,Ativa,6.699999999999999,2,0,0
33,Masculino,7.0,Musculação,118.3,828.1,184.03,Não,12.7,25.9,2021-11-28,Ativa,-13.2,1,4,0
22,Masculino,5.0,Natação,119.6,598.0,243.95,Não,36.9,27.3,2020-03-14,Ativa,9.599999999999998,1,6,0
44,Feminino,3.0,Yoga,88.3,264.9,176.71,Sim,33.0,20.8,2024-09-04,Ativa,12.2,0,9,0
24,Masculino,5.0,CrossFit,72.3,361.5,234.14,Sim,27.4,18.4,2021-09-08,Ativa,9.0,1,1,0
28,Feminino,3.0,Cardio,115.2,345.6,82.98,Sim,29.8,36.2,2025-04-01,Ativa,-6.400000000000002,0,0,0
52,Feminino,6.0,Natacao,114.2,685.2,186.69,Não,36.9,28.1,2020-11-24,Ativa,8.799999999999997,0,5,0
33,Feminino,4.0,Natação,114.8,459.2,58.5,Não,28.2,39.6,2023-05-19,Ativa,-11.400000000000002,0,6,0
38,Masculino,4.0,Cardio,26.9,107.6,67.17,Não,34.7,34.1,2021-04-02,Ativa,0.6000000000000014,1,0,0
28,Feminino,6.0,Futebol,116.1,696.6,175.74,Sim,19.6,27.9,2023-09-20,Ativa,-8.299999999999997,0,3,0
27,Masculino,7.0,Musculação,47.3,331.1,133.74,Não,14.6,10.5,2024-11-06,Ativa,4.1,1,4,0
62,Outro,3.0,Natação,35.6,106.8,178.59,Não,21.2,31.0,2022-07-21,Ativa,-9.8,2,6,0
56,Feminino,5.0,Musculação,82.7,413.5,200.92,Não,27.1,32.0,2020-07-19,Ativa,-4.899999999999999,0,4,0
34,Feminino,6.0,Cardio,113.9,683.4,117.6,Sim,14.0,31.7,2024-07-04,Ativa,-17.7,0,0,0
45,Masculino,6.0,Cardio,70.55,203.5,245.24,Não,22.7,20.6,2022-08-27,Ativa,2.099999999999998,1,0,0
25,Masculino,3.0,Musculação,63.7,191.1,97.23,Sim,30.0,23.5,2022-04-02,Ativa,6.5,1,4,0
63,Outro,7.0,Natação,70.55,203.5,266.84,Não,32.2,27.7,2021-11-21,Ativa,4.5000000000000036,2,6,0
62,Masculino,5.0,Natação,61.1,305.5,112.43,Sim,39.3,16.8,2020-07-21,Ativa,22.499999999999996,1,6,0
42,Feminino,7.0,Musculação,95.2,666.4,254.19,Não,10.4,15.1,2024-12-31,Ativa,-4.699999999999999,0,4,0
59,Feminino,6.0,CrossFit,44.1,264.6,138.08,Não,15.0,35.4,2024-03-23,Ativa,-20.4,0,1,0
63,Outro,0.0,CrossFit,45.9,0.0,207.14,Sim,27.0,37.7,2023-03-07,Sedentária,-10.700000000000003,2,1,1
53,Feminino,3.0,Yoga,86.5,259.5,258.39,Não,30.0,39.9,2024-03-03,Ativa,-9.899999999999999,0,9,0
57,Feminino,0.0,Musculação,116.5,0.0,237.93,Sim,38.7,29.1,2023-12-22,Sedentária,9.600000000000001,0,4,1
35,Masculino,3.0,Yoga,32.4,97.2,62.93,Não,11.3,30.0,2025-01-20,Ativa,-18.7,1,9,0
53,Masculino,6.0,Cardio,60.9,365.4,205.06,Sim,11.3,14.8,2020-12-21,Ativa,-3.5,1,0,0
39,Outro,0.0,CrossFit,23.9,0.0,142.83,Não,16.3,19.3,2025-07-31,Sedentária,-3.0,2,1,1
61,Masculino,4.0,CrossFit,24.6,98.4,82.94,Não,32.0,16.4,2020-11-07,Ativa,15.600000000000001,1,1,0
30,Masculino,4.0,Musculação,70.0,280.0,266.74,Sim,20.8,29.8,2023-10-17,Ativa,-9.0,1,4,0
30,Feminino,2.0,Cardio,82.5,165.0,237.74,Não,17.2,19.3,2025-07-23,Ativa,-2.1000000000000014,0,0,0
21,Feminino,0.0,Futebol,69.7,0.0,132.41,Sim,13.4,35.0,2023-03-31,Sedentária,-21.6,0,3,1
64,Feminino,4.0,Futebol,47.8,191.2,83.66,Não,39.8,24.9,2021-03-25,Ativa,14.899999999999999,0,3,0
28,Outro,0.0,CrossFit,83.8,0.0,64.35,Não,11.5,20.5,2023-10-07,Sedentária,-9.0,2,1,1
64,Masculino,7.0,CrossFit,53.2,372.4,184.36,Não,21.5,21.8,2024-06-23,Ativa,-0.3000000000000007,1,1,0
63,Outro,2.0,CrossFit,116.4,232.8,214.37,Sim,35.9,24.4,2025-03-26,Ativa,11.5,2,1,0
29,Feminino,2.0,CrossFit,85.8,171.6,176.56,Sim,15.1,32.6,2022-03-08,Ativa,-17.5,0,1,0
41,Masculino,6.0,Musculação,57.3,343.8,235.76,Sim,13.6,37.6,2023-04-05,Ativa,-24.0,1,4,0
43,Feminino,1.0,CrossFit,47.1,47.1,165.95,Não,36.0,12.8,2020-04-17,Ativa,23.2,0,1,0
54,Masculino,4.0,CrossFit,91.4,203.5,284.36,Não,20.6,26.4,2021-02-28,Sedentária,-5.799999999999997,1,1,1
29,Masculino,2.0,Musculação,113.0,226.0,247.27,Sim,36.6,19.1,2024-04-08,Ativa,17.5,1,4,0
40,Feminino,6.0,Musculação,80.4,482.4,173.46,Sim,25.1,35.4,2025-03-07,Ativa,-10.299999999999997,0,4,0
18,Outro,7.0,Cardio,62.9,440.3,199.37,Não,16.8,36.0,2021-11-08,Ativa,-19.2,2,0,0
31,Masculino,6.0,Natação,89.9,539.4,284.14,Sim,39.3,17.6,2025-06-11,Ativa,21.699999999999996,1,6,0
54,Feminino,2.0,Futebol,110.6,221.2,293.1,Não,32.1,10.2,2025-04-08,Ativa,21.900000000000002,0,3,0
53,Outro,4.0,Futebol,73.4,293.6,218.65,Não,33.1,22.5,2022-04-16,Ativa,10.600000000000001,2,3,0
44,Masculino,5.0,CrossFit,63.0,315.0,197.3,Não,33.4,13.6,2021-10-09,Ativa,19.799999999999997,1,1,0
56,Masculino,7.0,Yoga,87.5,612.5,264.61,Sim,30.3,27.0,2025-04-26,Ativa,3.3000000000000007,1,9,0
37,Feminino,5.0,Futebol,60.5,302.5,74.13,Não,28.3,15.2,2020-03-28,Ativa,13.100000000000001,0,3,0
34,Outro,7.0,Yoga,96.0,672.0,133.92,Não,31.4,24.8,2023-01-05,Ativa,6.599999999999998,2,9,0
